NAME,ORG_NAME,ORG_ID
AMS009998,IPC04514,26
BCN001378,IPC04514,26
BER000439,IPC04514,26
BRS000074,IPC04514,26
BRU009495,IPC04514,26
CES000259,IPC04514,26
CGN000803,IPC04514,26
GER000609,IPC04489,46
GER004232,IPC04584,36
GER004480,IPC04584,36
HAM005888,IPC04514,26
HUN000064,IPC04761,80
LON003653,IPC04514,26
MAD003600,IPC04514,26
MGL000032,IPC04489,46
MIL001332,IPC04514,26
MUC000630,IPC04514,26
PAR003163,IPC04514,26
QVA000064,IPC04514,26
RDG003641,IPC04514,26
ROM000661,IPC04514,26
SIN000079,IPC04514,26
VLC000842,IPC04489,46
VNF-V-CES000472,IPC04514,26
VNF-V-LON000048,IPC04514,26
ZAZ000021,IPC04514,26
SUI008557,IPC04578,35
SUI008558,IPC04578,35
SUI008560,IPC04578,35
SUI008561,IPC04578,35
SUI008648,IPC04578,35
SUI008649,IPC04578,35
SUI009435,IPC04578,35
SUI060370,IPC04578,35
SWE000053,IPC04578,35
SWE000054,IPC04578,35
SWE000055,IPC04578,35
UWE000027,IPC04578,35
UWE000030,IPC04578,35
VIE000972,IPC04578,35
VIE001067,IPC04578,35
VIE002351,IPC04578,35
ZLM000291,IPC04578,35
ZRH000189,IPC04578,35
ZRH000206,IPC04578,35
ZRH000214,IPC04578,35
ZRH000552,IPC04578,35
ZRH000903,IPC04578,35
ZRH000963,IPC04578,35
ZRH002220,IPC04578,35
MIL000092,IPC03620,137
GER000710,IPC04489,46
HUN000059,IPC04489,46
HUN000060,IPC04489,46
MEX000018,IPC04489,46
XPS000174,IPC04489,46
CES024530,IPC04514,26
JPN000066,IPC04733,50
SIN000049,IPC04758,52
ZAZ000008,IPC04514,26
VNF-V-LON000346,IPC04514,26
VNF-V-CES000013,IPC04514,26
VLC000752,IPC04489,46
SIN000080,IPC04514,26
ROM000607,IPC04514,26
RDG003649,IPC04514,26
QVA000051,IPC04514,26
PAR003602,IPC04514,26
MUC000410,IPC04514,26
MIL001371,IPC04514,26
MGL000030,IPC04489,46
