NAME,ORG_NAME,ORG_ID
AGF000022,IPC03024,33
AGP000094,IPC04472,25
AMS000089,IPC05484,94
AMS000095,IPC05484,94
AMS000099,IPC05484,94
AMS000110,IPC01184,130
AMS000118,IPC05484,94
AMS000126,IPC05513,96
AMS000170,IPC04358,28
AMS000206,IPC04932,62
AMS000208,IPC04932,62
AMS000342,IPC05513,96
AMS000344,IPC05513,96
AMS000603,IPC04514,26
AMS000631,IPC05020,68
AMS000718,IPC05513,96
AMS000832,IPC05484,94
AMS000894,IPC05319,81
AMS000988,IPC05569,127
AMS000990,IPC01184,130
AMS001320,IPC04358,28
AMS004633,IPC04472,25
AMS009998,IPC04514,26
ANE000031,IPC03024,33
ANG000013,IPC05162,76
ANG000014,IPC05162,76
ANG000025,IPC03024,33
ANR000009,IPC05162,76
ANR000090,IPC041103199,31
ANR000097,IPC05162,76
ANR000170,IPC041103199,31
ANR000304,IPC03257,111
ANR000314,IPC05521,100
ANR000498,IPC05521,100
ANR000578,IPC03257,111
ANR000911,IPC05521,100
ANR000912,IPC05521,100
ANR000916,IPC05521,100
ANR000992,IPC05521,100
ANR000995,IPC05521,100
ANR003756,IPC05521,100
ANR004777,IPC05521,100
ANR008465,IPC041103199,31
ANR008466,IPC041103199,31
AUS000022,IPC05020,68
AUS000023,IPC05020,68
AUT000005,IPC03257,111
AVN000106,IPC03024,33
BCN000015,IPC05560,124
BCN000041,IPC05560,124
BCN000042,IPC05560,124
BCN000246,IPC05398,88
BCN000348,IPC05398,88
BCN000363,IPC05560,124
BCN000364,IPC04248,17
BCN000389,IPC05398,88
BCN000523,IPC05563,121
BCN000556,IPC04472,25
BCN000672,IPC05515,97
BCN000705,IPC04248,17
BCN000885,IPC03264,86
BCN000895,IPC05325,82
BCN000902,IPC05325,82
BCN000904,IPC05325,82
BCN000912,IPC05325,82
BCN000920,IPC05398,88
BCN000922,IPC05517,98
BCN000928,IPC03264,86
BCN000932,IPC05398,88
BCN000934,IPC04624,39
BCN000944,IPC05398,88
BCN000949,IPC05398,88
BCN000994,IPC05563,121
BCN001125,IPC04514,26
BCN001378,IPC04514,26
BCN001568,IPC04248,17
BCN002231,IPC04248,17
BCN004315,IPC05325,82
BCN006632,IPC04472,25
BCN006981,IPC05325,82
BCN007999,IPC05398,88
BCN008046,IPC05398,88
BCN008697,IPC05515,97
BCN008749,IPC05398,88
BCN059084,IPC05398,88
BCN065384,IPC05398,88
BER000010,IPC04932,62
BER000052,COLT,1
BER000052,IPC04584,36
BER000052,IPC060500463,131
BER000064,IPC05398,88
BER000067,IPC05398,88
BER000081,IPC04932,62
BER000356,IPC04305W,29
BER000439,IPC04514,26
BER000540,IPC04578,35
BER000646,IPC04578,35
BER000888,IPC05521,100
BER000908,IPC04305W,29
BER000914,COLT,1
BER000914,IPC04584,36
BER000914,IPC060500463,131
BER000926,IPC060500463,131
BER000940,IPC05521,100
BER000985,IPC060500463,131
BER000996,IPC04578,35
BER004896,IPC04578,35
BER005236,IPC04514,26
BER005632,IPC04472,25
BER009767,IPC03264,86
BER009768,IPC03264,86
BER011169,IPC04578,35
BFE000022,IPC04578,35
BHX000368,IPC04932,62
BHX000369,IPC04932,62
BHX000505,IPC05521,100
BHX000900,IPC05521,100
BLQ000092,IPC04472,25
BLQ000486,IPC04248,17
BLQ000520,IPC01281,78
BLX000001,IPC04968,66
BLX000004,IPC04968,66
BMU000200,IPC05414,93
BMU000202,IPC05414,93
BOU000022,IPC03024,33
BRA000018,IPC01941W,24
BRE001040,IPC060302230,58
BRE001041,IPC060302230,58
BRI000500,IPC01281,78
BRN000201,IPC04578,35
BRN000707,IPC04578,35
BRN002349,IPC04578,35
BRS000074,IPC04514,26
BRS001104,IPC04514,26
BRU000004,IPC05162,76
BRU000006,IPC05521,100
BRU000007,IPC02945,89
BRU000016,IPC05538,109
BRU000045,IPC05538,109
BRU000081,IPC02049,108
BRU000090,IPC05020,68
BRU000105,IPC05414,93
BRU000108,IPC05414,93
BRU000146,IPC02945,89
BRU000166,IPC05563,121
BRU000174,IPC041103199,31
BRU000186,IPC041200213,120
BRU000259,IPC04472,25
BRU000264,IPC041103199,31
BRU000292,IPC041103199,31
BRU000317,IPC041103199,31
BRU000574,IPC04358,28
BRU000671,IPC05523,101
BRU000924,IPC05521,100
BRU000927,IPC05414,93
BRU000962,IPC05521,100
BRU000966,IPC05538,109
BRU001160,IPC02945,89
BRU001199,IPC05521,100
BRU001724,IPC02945,89
BRU001738,IPC02945,89
BRU001942,IPC02945,89
BRU001948,IPC04358,28
BRU001954,IPC05414,93
BRU002182,IPC04358,28
BRU002300,IPC04358,28
BRU002909,IPC05521,100
BRU006652,IPC02267,40
BRU007689,IPC041103199,31
BRU008282,IPC05521,100
BRU009092,IPC05521,100
BRU009495,IPC04514,26
BRU009496,IPC04514,26
BRU009527,IPC041103199,31
BRU022865,IPC041103199,31
BRV000017,IPC060302230,58
BSL000145,IPC04578,35
BSL000249,IPC04578,35
BSL002655,IPC04578,35
BVA000056,IPC03024,33
BWE000013,IPC060302230,58
BWE000014,IPC060302230,58
BWE000019,IPC060302230,58
BWE000020,IPC060302230,58
BWE000030,IPC060302230,58
BWE000200,IPC060302230,58
BZO000009,IPC04968,66
BZO000018,IPC04968,66
BZO000020,IPC04968,66
CAN000019,IPC04624,39
CAN000030,IPC04624,39
CES000259,IPC04514,26
CES000443,IPC04472,25
CES000915,IPC04514,26
CES024530,IPC04514,26
CFR000039,IPC03024,33
CGN000282,IPC04514,26
CGN000286,IPC04578,35
CGN000777,IPC04578,35
CGN000802,IPC05162,76
CGN000803,IPC04514,26
CGN000950,IPC05567,125
CGN000955,IPC04578,35
CHN000007,IPC05398,88
CHN000048,IPC04932,62
CHN000085,IPC05398,88
CHN000089,IPC04932,62
CMF000036,IPC03024,33
CMR000035,IPC03024,33
CNO000079,IPC04932,62
CNO000500,IPC04932,62
CPH000195,IPC01281,78
CQF000062,IPC03024,33
CQF000395,IPC03024,33
CTA000023,IPC01281,78
CUF000004,IPC04884,63
CUF000008,IPC04884,63
CZE000091,IPC01941W,24
CZE000098,IPC04370,38
CZE000209,IPC05020,68
CZE000904,IPC05563,121
DIJ000048,IPC03024,33
DRS000040,IPC05521,100
DRS000089,IPC05521,100
DTM000016,IPC04578,35
DTM000108,IPC04578,35
DUB000044,IPC04358,28
DUB000146,IPC04358,28
DUB000152,IPC04358,28
DUB000605,IPC05414,93
DUB000653,IPC05521,100
DUB001010,IPC05414,93
DUI000023,IPC04946,60
DUI000202,IPC04946,60
DUS000095,IPC04932,62
DUS000161,IPC04932,62
DUS000681,IPC04472,25
DUS000803,IPC04578,35
DUS005390,IPC04578,35
EAN000064,IPC04932,62
EAN000090,IPC04932,62
EAN000150,IPC04932,62
EAN000181,IPC04932,62
EAN000185,IPC04932,62
EAN002729,IPC04932,62
EBU000063,IPC03024,33
EDM000014,IPC03024,33
ENC000040,IPC03024,33
ERF000007,IPC04578,35
ERF000037,IPC04578,35
ERF000038,IPC04578,35
ERF000900,IPC04578,35
ESS000260,IPC04578,35
ESS00881,IPC04578,35
FIN000105,IPC04946,60
FIN000902,IPC03264,86
FIN000904,IPC03264,86
FLR000040,IPC04472,25
FLR000109,IPC04472,25
FMO000020,IPC060302230,58
FMO000021,IPC060302230,58
FMO000031,IPC060302230,58
FMO000037,IPC060302230,58
FMO000045,IPC060302230,58
FMO000100,IPC060302230,58
FRA000042,IPC05020,68
FRA000276,IPC05319,81
FRA000300,COLT,1
FRA000300,IPC05581,139
FRA000300,IPC05582,141
FRA000300,IPC05583,143
FRA000300,IPC05585,142
FRA000332,IPC05020,68
FRA000374,IPC05567,125
FRA000553,IPC05020,68
FRA000594,IPC04472,25
FRA000724,IPC05548,115
FRA000746,IPC060302230,58
FRA001053,IPC060302230,58
FRA001329,IPC04578,35
FRA001998,IPC05567,125
FRA002302,IPC05162,76
FRA002627,IPC01281,78
FRA003107,IPC05517,98
FRA003401,IPC05517,98
FRA003505,IPC05569,127
FRA005348,IPC03257,111
FRA009016,IPC05567,125
FRA009020,IPC03257,111
FRA009022,COLT,1
FRA009022,IPC05581,139
FRA009022,IPC05582,141
FRA009022,IPC05583,143
FRA009022,IPC05585,142
GER000036,IPC060302230,58
GER000084,IPC060302230,58
GER000090,IPC060302230,58
GER000109,IPC060302230,58
GER000168,IPC04946,60
GER000192,IPC060302230,58
GER000197,IPC060302230,58
GER000199,IPC060302230,58
GER000237,IPC060302230,58
GER000252,IPC060302230,58
GER000272,IPC060302230,58
GER000280,IPC060302230,58
GER000281,IPC060302230,58
GER000291,IPC01281,78
GER000293,IPC060401471,126
GER000300,IPC060302230,58
GER000324,IPC060302230,58
GER000329,IPC060302230,58
GER000331,IPC060302230,58
GER000338,IPC060302230,58
GER000349,IPC060302230,58
GER000350,IPC060302230,58
GER000351,IPC060302230,58
GER000353,IPC060302230,58
GER000355,IPC060302230,58
GER000359,IPC060302230,58
GER000364,IPC060302230,58
GER000381,IPC060302230,58
GER000382,IPC060302230,58
GER000383,IPC060401057,105
GER000387,IPC060401471,126
GER000399,IPC060302230,58
GER000402,IPC060302230,58
GER000416,IPC060302230,58
GER000424,IPC060302230,58
GER000436,IPC060302230,58
GER000450,IPC060302230,58
GER000465,IPC060302230,58
GER000473,IPC03264,86
GER000478,IPC060302230,58
GER000479,IPC060302230,58
GER000480,IPC060302230,58
GER000493,IPC060302230,58
GER000496,IPC060302230,58
GER000510,IPC060302230,58
GER000511,IPC060302230,58
GER000527,IPC060302230,58
GER000539,IPC060302230,58
GER000546,IPC01281,78
GER000547,IPC060302230,58
GER000548,IPC060302230,58
GER000549,IPC060302230,58
GER000558,IPC060302230,58
GER000576,IPC04578,35
GER000607,IPC060302230,58
GER000608,IPC060401057,105
GER000609,IPC04489,46
GER000616,IPC04946,60
GER000628,IPC060302230,58
GER000629,IPC060302230,58
GER000634,IPC060401471,126
GER000635,IPC060401057,105
GER000645,IPC060302230,58
GER000657,IPC060302230,58
GER000661,IPC060302230,58
GER000662,IPC060401471,126
GER000664,IPC060302230,58
GER000671,IPC060302230,58
GER000672,IPC060302230,58
GER000674,IPC060302230,58
GER000676,IPC060302230,58
GER000710,IPC04489,46
GER000773,IPC060302230,58
GER000774,IPC060302230,58
GER000781,IPC060302230,58
GER000783,IPC060302230,58
GER000785,IPC060401057,105
GER000786,IPC060302230,58
GER000793,IPC060302230,58
GER000809,IPC060401057,105
GER000825,IPC060401057,105
GER000834,IPC060302230,58
GER000972,IPC04305W,29
GER000988,IPC05410,87
GER001009,IPC060401057,105
GER001010,IPC04578,35
GER001026,IPC060302230,58
GER001031,IPC060302230,58
GER001034,IPC060401057,105
GER001035,IPC060302230,58
GER001037,IPC060401471,126
GER001050,IPC060401471,126
GER001060,IPC060302230,58
GER001081,IPC05517,98
GER001229,IPC04578,35
GER001291,IPC04578,35
GER001405,IPC060302230,58
GER001406,IPC060302230,58
GER001520,IPC060302230,58
GER001628,IPC060302230,58
GER001630,IPC060302230,58
GER001678,IPC05517,98
GER001802,IPC060302230,58
GER001810,IPC060302230,58
GER001816,IPC060302230,58
GER001820,IPC05517,98
GER001834,IPC060302230,58
GER001844,IPC060302230,58
GER001992,IPC060302230,58
GER002017,IPC04472,25
GER002018,IPC060302230,58
GER002106,IPC060302230,58
GER002108,IPC060302230,58
GER002124,IPC060302230,58
GER002126,IPC060302230,58
GER002130,IPC060302230,58
GER002134,IPC060302230,58
GER002140,IPC060302230,58
GER002146,IPC060302230,58
GER002182,IPC060302230,58
GER002226,IPC060302230,58
GER002228,IPC060302230,58
GER002232,IPC060302230,58
GER002299,IPC05162,76
GER002387,IPC060401057,105
GER002406,IPC060302230,58
GER002410,IPC060302230,58
