NAME,ORG_NAME,ORG_ID
AMS000126,IPC05513,96
AMS000206,IPC04932,62
AMS000208,IPC04932,62
AMS000342,IPC05513,96
AMS000344,IPC05513,96
AMS000631,IPC05020,68
AMS000718,IPC05513,96
AMS000894,IPC05319,81
ANG000013,IPC05162,76
ANG000014,IPC05162,76
ANR000009,IPC05162,76
ANR000097,IPC05162,76
AUS000022,IPC05020,68
AUS000023,IPC05020,68
BCN000246,IPC05398,88
BCN000348,IPC05398,88
BCN000389,IPC05398,88
BCN000672,IPC05515,97
BCN000895,IPC05325,82
BCN000902,IPC05325,82
BCN000904,IPC05325,82
BCN000912,IPC05325,82
BCN000920,IPC05398,88
BCN000922,IPC05517,98
BCN000932,IPC05398,88
BCN000944,IPC05398,88
BCN000949,IPC05398,88
BCN004315,IPC05325,82
BCN006981,IPC05325,82
BCN007999,IPC05398,88
BCN008046,IPC05398,88
BCN008697,IPC05515,97
BCN008749,IPC05398,88
BCN059084,IPC05398,88
BCN065384,IPC05398,88
BER000010,IPC04932,62
BER000064,IPC05398,88
BER000067,IPC05398,88
BER000081,IPC04932,62
BHX000368,IPC04932,62
BHX000369,IPC04932,62
BLX000001,IPC04968,66
BLX000004,IPC04968,66
BMU000200,IPC05414,93
BMU000202,IPC05414,93
BRU000004,IPC05162,76
BRU000090,IPC05020,68
BRU000105,IPC05414,93
BRU000108,IPC05414,93
BRU000927,IPC05414,93
BRU001954,IPC05414,93
BZO000009,IPC04968,66
BZO000018,IPC04968,66
BZO000020,IPC04968,66
CGN000802,IPC05162,76
CHN000007,IPC05398,88
CHN000048,IPC04932,62
CHN000085,IPC05398,88
CHN000089,IPC04932,62
CNO000079,IPC04932,62
CNO000500,IPC04932,62
CUF000004,IPC04884,63
CUF000008,IPC04884,63
CZE000209,IPC05020,68
DUB000605,IPC05414,93
DUB001010,IPC05414,93
DUI000023,IPC04946,60
DUI000202,IPC04946,60
DUS000095,IPC04932,62
DUS000161,IPC04932,62
EAN000064,IPC04932,62
EAN000090,IPC04932,62
EAN000150,IPC04932,62
EAN000181,IPC04932,62
EAN000185,IPC04932,62
EAN002729,IPC04932,62
FIN000105,IPC04946,60
FRA000042,IPC05020,68
FRA000276,IPC05319,81
FRA000332,IPC05020,68
FRA002302,IPC05162,76
FRA003107,IPC05517,98
FRA003401,IPC05517,98
GER000168,IPC04946,60
GER000616,IPC04946,60
GER000988,IPC05410,87
GER001081,IPC05517,98
GER001678,IPC05517,98
GER001820,IPC05517,98
GER002299,IPC05162,76
GER002525,IPC05162,76
GER002762,IPC05517,98
GER002765,IPC05517,98
GER004895,IPC04946,60
GER004935,IPC05517,98
GER005104,IPC05410,87
GNE000404,IPC05517,98
GOA000200,IPC04946,60
GRO000050,IPC05398,88
GRO000055,IPC05398,88
HAG000358,IPC05144,73
HAJ000658,IPC05410,87
HAJ000667,IPC05410,87
HAM000082,IPC04946,60
HAM000468,IPC05410,87
HAM000512,IPC04946,60
HAM000670,IPC05410,87
HAM000900,IPC04932,62
HAM000902,IPC05410,87
HAM000965,IPC04932,62
HAM001128,IPC04946,60
HAM002514,IPC04946,60
HAM005788,IPC05410,87
HAM006542,IPC04946,60
HKG000224,IPC04932,62
HKG000235,IPC04932,62
HUN000062,IPC05162,76
HUN000063,IPC05162,76
LAT000010,IPC05162,76
LAT000011,IPC05162,76
LDS000011,IPC04932,62
LDS000051,IPC04932,62
LIS000557,IPC05020,68
LIS000559,IPC05398,88
LIS000725,IPC05020,68
LIS000900,IPC05398,88
LON000171,IPC05319,81
LON000597,IPC05020,68
LON000970,IPC05414,93
LON002223,IPC04932,62
LON003944,IPC04932,62
LON007789,IPC05414,93
LON008080,IPC04932,62
LON00855,IPC05020,68
